,image_id,chip_id,flood_id,polarization,location,scene_start
48,ayt09_vh,ayt09,ayt,vh,Nigeria,2018-09-21
49,ayt09_vv,ayt09,ayt,vv,Nigeria,2018-09-21
50,ayt10_vh,ayt10,ayt,vh,Nigeria,2018-09-21
51,ayt10_vv,ayt10,ayt,vv,Nigeria,2018-09-21
52,ayt11_vh,ayt11,ayt,vh,Nigeria,2018-09-21
53,ayt11_vv,ayt11,ayt,vv,Nigeria,2018-09-21
54,ayt12_vh,ayt12,ayt,vh,Nigeria,2018-09-21
55,ayt12_vv,ayt12,ayt,vv,Nigeria,2018-09-21
56,ayt13_vh,ayt13,ayt,vh,Nigeria,2018-09-21
57,ayt13_vv,ayt13,ayt,vv,Nigeria,2018-09-21
58,ayt14_vh,ayt14,ayt,vh,Nigeria,2018-09-21
59,ayt14_vv,ayt14,ayt,vv,Nigeria,2018-09-21
60,ayt15_vh,ayt15,ayt,vh,Nigeria,2018-09-21
61,ayt15_vv,ayt15,ayt,vv,Nigeria,2018-09-21
62,ayt16_vh,ayt16,ayt,vh,Nigeria,2018-09-21
63,ayt16_vv,ayt16,ayt,vv,Nigeria,2018-09-21
64,ayt17_vh,ayt17,ayt,vh,Nigeria,2018-09-21
65,ayt17_vv,ayt17,ayt,vv,Nigeria,2018-09-21
66,coz00_vh,coz00,coz,vh,Pakistan,2017-06-28
67,coz00_vv,coz00,coz,vv,Pakistan,2017-06-28
68,coz01_vh,coz01,coz,vh,Pakistan,2017-06-28
69,coz01_vv,coz01,coz,vv,Pakistan,2017-06-28
70,coz02_vh,coz02,coz,vh,Pakistan,2017-06-28
71,coz02_vv,coz02,coz,vv,Pakistan,2017-06-28
72,coz03_vh,coz03,coz,vh,Pakistan,2017-06-28
73,coz03_vv,coz03,coz,vv,Pakistan,2017-06-28
74,coz04_vh,coz04,coz,vh,Pakistan,2017-06-28
75,coz04_vv,coz04,coz,vv,Pakistan,2017-06-28
76,coz05_vh,coz05,coz,vh,Pakistan,2017-06-28
77,coz05_vv,coz05,coz,vv,Pakistan,2017-06-28
78,coz06_vh,coz06,coz,vh,Pakistan,2017-06-28
79,coz06_vv,coz06,coz,vv,Pakistan,2017-06-28
80,coz07_vh,coz07,coz,vh,Pakistan,2017-06-28
81,coz07_vv,coz07,coz,vv,Pakistan,2017-06-28
82,coz08_vh,coz08,coz,vh,Pakistan,2017-06-28
83,coz08_vv,coz08,coz,vv,Pakistan,2017-06-28
84,coz09_vh,coz09,coz,vh,Pakistan,2017-06-28
85,coz09_vv,coz09,coz,vv,Pakistan,2017-06-28
86,coz10_vh,coz10,coz,vh,Pakistan,2017-06-28
87,coz10_vv,coz10,coz,vv,Pakistan,2017-06-28
88,coz11_vh,coz11,coz,vh,Pakistan,2017-06-28
89,coz11_vv,coz11,coz,vv,Pakistan,2017-06-28
90,coz12_vh,coz12,coz,vh,Pakistan,2017-06-28
91,coz12_vv,coz12,coz,vv,Pakistan,2017-06-28
92,coz13_vh,coz13,coz,vh,Pakistan,2017-06-28
93,coz13_vv,coz13,coz,vv,Pakistan,2017-06-28
94,coz14_vh,coz14,coz,vh,Pakistan,2017-06-28
95,coz14_vv,coz14,coz,vv,Pakistan,2017-06-28
96,coz15_vh,coz15,coz,vh,Pakistan,2017-06-28
97,coz15_vv,coz15,coz,vv,Pakistan,2017-06-28
98,coz16_vh,coz16,coz,vh,Pakistan,2017-06-28
99,coz16_vv,coz16,coz,vv,Pakistan,2017-06-28
100,coz17_vh,coz17,coz,vh,Pakistan,2017-06-28
101,coz17_vv,coz17,coz,vv,Pakistan,2017-06-28
102,coz18_vh,coz18,coz,vh,Pakistan,2017-06-28
103,coz18_vv,coz18,coz,vv,Pakistan,2017-06-28
104,coz19_vh,coz19,coz,vh,Pakistan,2017-06-28
105,coz19_vv,coz19,coz,vv,Pakistan,2017-06-28
106,coz20_vh,coz20,coz,vh,Pakistan,2017-06-28
107,coz20_vv,coz20,coz,vv,Pakistan,2017-06-28
108,coz21_vh,coz21,coz,vh,Pakistan,2017-06-28
109,coz21_vv,coz21,coz,vv,Pakistan,2017-06-28
110,coz22_vh,coz22,coz,vh,Pakistan,2017-06-28
111,coz22_vv,coz22,coz,vv,Pakistan,2017-06-28
112,coz23_vh,coz23,coz,vh,Pakistan,2017-06-28
113,coz23_vv,coz23,coz,vv,Pakistan,2017-06-28
114,coz24_vh,coz24,coz,vh,Pakistan,2017-06-28
115,coz24_vv,coz24,coz,vv,Pakistan,2017-06-28
116,coz25_vh,coz25,coz,vh,Pakistan,2017-06-28
117,coz25_vv,coz25,coz,vv,Pakistan,2017-06-28
118,coz26_vh,coz26,coz,vh,Pakistan,2017-06-28
119,coz26_vv,coz26,coz,vv,Pakistan,2017-06-28
120,coz27_vh,coz27,coz,vh,Pakistan,2017-06-28
121,coz27_vv,coz27,coz,vv,Pakistan,2017-06-28
122,hbe00_vh,hbe00,hbe,vh,USA,2019-05-22
123,hbe00_vv,hbe00,hbe,vv,USA,2019-05-22
124,hbe01_vh,hbe01,hbe,vh,USA,2019-05-22
125,hbe01_vv,hbe01,hbe,vv,USA,2019-05-22
126,hbe02_vh,hbe02,hbe,vh,USA,2019-05-22
127,hbe02_vv,hbe02,hbe,vv,USA,2019-05-22
128,hbe03_vh,hbe03,hbe,vh,USA,2019-05-22
129,hbe03_vv,hbe03,hbe,vv,USA,2019-05-22
130,hbe04_vh,hbe04,hbe,vh,USA,2019-05-22
131,hbe04_vv,hbe04,hbe,vv,USA,2019-05-22
132,hbe05_vh,hbe05,hbe,vh,USA,2019-05-22
133,hbe05_vv,hbe05,hbe,vv,USA,2019-05-22
134,hbe06_vh,hbe06,hbe,vh,USA,2019-05-22
135,hbe06_vv,hbe06,hbe,vv,USA,2019-05-22
136,hbe07_vh,hbe07,hbe,vh,USA,2019-05-22
137,hbe07_vv,hbe07,hbe,vv,USA,2019-05-22
138,hbe08_vh,hbe08,hbe,vh,USA,2019-05-22
139,hbe08_vv,hbe08,hbe,vv,USA,2019-05-22
140,hbe09_vh,hbe09,hbe,vh,USA,2019-05-22
141,hbe09_vv,hbe09,hbe,vv,USA,2019-05-22
142,hbe10_vh,hbe10,hbe,vh,USA,2019-05-22
143,hbe10_vv,hbe10,hbe,vv,USA,2019-05-22
144,hbe11_vh,hbe11,hbe,vh,USA,2019-05-22
145,hbe11_vv,hbe11,hbe,vv,USA,2019-05-22
146,hbe12_vh,hbe12,hbe,vh,USA,2019-05-22
147,hbe12_vv,hbe12,hbe,vv,USA,2019-05-22
148,hbe13_vh,hbe13,hbe,vh,USA,2019-05-22
149,hbe13_vv,hbe13,hbe,vv,USA,2019-05-22
150,hbe14_vh,hbe14,hbe,vh,USA,2019-05-22
151,hbe14_vv,hbe14,hbe,vv,USA,2019-05-22
152,hbe15_vh,hbe15,hbe,vh,USA,2019-05-22
153,hbe15_vv,hbe15,hbe,vv,USA,2019-05-22
154,hbe16_vh,hbe16,hbe,vh,USA,2019-05-22
155,hbe16_vv,hbe16,hbe,vv,USA,2019-05-22
156,hbe17_vh,hbe17,hbe,vh,USA,2019-05-22
157,hbe17_vv,hbe17,hbe,vv,USA,2019-05-22
158,hbe18_vh,hbe18,hbe,vh,USA,2019-05-22
159,hbe18_vv,hbe18,hbe,vv,USA,2019-05-22
160,hbe19_vh,hbe19,hbe,vh,USA,2019-05-22
161,hbe19_vv,hbe19,hbe,vv,USA,2019-05-22
162,hbe20_vh,hbe20,hbe,vh,USA,2019-05-22
163,hbe20_vv,hbe20,hbe,vv,USA,2019-05-22
164,hbe21_vh,hbe21,hbe,vh,USA,2019-05-22
165,hbe21_vv,hbe21,hbe,vv,USA,2019-05-22
166,hbe22_vh,hbe22,hbe,vh,USA,2019-05-22
167,hbe22_vv,hbe22,hbe,vv,USA,2019-05-22
168,hbe23_vh,hbe23,hbe,vh,USA,2019-05-22
169,hbe23_vv,hbe23,hbe,vv,USA,2019-05-22
170,hbe24_vh,hbe24,hbe,vh,USA,2019-05-22
171,hbe24_vv,hbe24,hbe,vv,USA,2019-05-22
172,hbe25_vh,hbe25,hbe,vh,USA,2019-05-22
173,hbe25_vv,hbe25,hbe,vv,USA,2019-05-22
174,hbe26_vh,hbe26,hbe,vh,USA,2019-05-22
175,hbe26_vv,hbe26,hbe,vv,USA,2019-05-22
176,hbe27_vh,hbe27,hbe,vh,USA,2019-05-22
177,hbe27_vv,hbe27,hbe,vv,USA,2019-05-22
178,hbe28_vh,hbe28,hbe,vh,USA,2019-05-22
179,hbe28_vv,hbe28,hbe,vv,USA,2019-05-22
180,hbe29_vh,hbe29,hbe,vh,USA,2019-05-22
181,hbe29_vv,hbe29,hbe,vv,USA,2019-05-22
182,hbe30_vh,hbe30,hbe,vh,USA,2019-05-22
183,hbe30_vv,hbe30,hbe,vv,USA,2019-05-22
184,hbe31_vh,hbe31,hbe,vh,USA,2019-05-22
185,hbe31_vv,hbe31,hbe,vv,USA,2019-05-22
186,hbe32_vh,hbe32,hbe,vh,USA,2019-05-22
187,hbe32_vv,hbe32,hbe,vv,USA,2019-05-22
188,hbe33_vh,hbe33,hbe,vh,USA,2019-05-22
189,hbe33_vv,hbe33,hbe,vv,USA,2019-05-22
190,hbe34_vh,hbe34,hbe,vh,USA,2019-05-22
191,hbe34_vv,hbe34,hbe,vv,USA,2019-05-22
192,hbe35_vh,hbe35,hbe,vh,USA,2019-05-22
193,hbe35_vv,hbe35,hbe,vv,USA,2019-05-22
194,hbe36_vh,hbe36,hbe,vh,USA,2019-05-22
195,hbe36_vv,hbe36,hbe,vv,USA,2019-05-22
196,hbe37_vh,hbe37,hbe,vh,USA,2019-05-22
197,hbe37_vv,hbe37,hbe,vv,USA,2019-05-22
198,hbe38_vh,hbe38,hbe,vh,USA,2019-05-22
199,hbe38_vv,hbe38,hbe,vv,USA,2019-05-22
200,hbe39_vh,hbe39,hbe,vh,USA,2019-05-22
201,hbe39_vv,hbe39,hbe,vv,USA,2019-05-22
202,hbe40_vh,hbe40,hbe,vh,USA,2019-05-22
203,hbe40_vv,hbe40,hbe,vv,USA,2019-05-22
204,hbe41_vh,hbe41,hbe,vh,USA,2019-05-22
205,hbe41_vv,hbe41,hbe,vv,USA,2019-05-22
206,hbe42_vh,hbe42,hbe,vh,USA,2019-05-22
207,hbe42_vv,hbe42,hbe,vv,USA,2019-05-22
208,hbe43_vh,hbe43,hbe,vh,USA,2019-05-22
209,hbe43_vv,hbe43,hbe,vv,USA,2019-05-22
210,hbe44_vh,hbe44,hbe,vh,USA,2019-05-22
211,hbe44_vv,hbe44,hbe,vv,USA,2019-05-22
212,hbe45_vh,hbe45,hbe,vh,USA,2019-05-22
213,hbe45_vv,hbe45,hbe,vv,USA,2019-05-22
214,hbe46_vh,hbe46,hbe,vh,USA,2019-05-22
215,hbe46_vv,hbe46,hbe,vv,USA,2019-05-22
216,hbe47_vh,hbe47,hbe,vh,USA,2019-05-22
217,hbe47_vv,hbe47,hbe,vv,USA,2019-05-22
218,hbe48_vh,hbe48,hbe,vh,USA,2019-05-22
219,hbe48_vv,hbe48,hbe,vv,USA,2019-05-22
220,hbe49_vh,hbe49,hbe,vh,USA,2019-05-22
221,hbe49_vv,hbe49,hbe,vv,USA,2019-05-22
222,hbe50_vh,hbe50,hbe,vh,USA,2019-05-22
223,hbe50_vv,hbe50,hbe,vv,USA,2019-05-22
224,hbe51_vh,hbe51,hbe,vh,USA,2019-05-22
225,hbe51_vv,hbe51,hbe,vv,USA,2019-05-22
226,hbe52_vh,hbe52,hbe,vh,USA,2019-05-22
227,hbe52_vv,hbe52,hbe,vv,USA,2019-05-22
228,hbe53_vh,hbe53,hbe,vh,USA,2019-05-22
229,hbe53_vv,hbe53,hbe,vv,USA,2019-05-22
230,hbe54_vh,hbe54,hbe,vh,USA,2019-05-22
231,hbe54_vv,hbe54,hbe,vv,USA,2019-05-22
232,hbe55_vh,hbe55,hbe,vh,USA,2019-05-22
233,hbe55_vv,hbe55,hbe,vv,USA,2019-05-22
234,hbe56_vh,hbe56,hbe,vh,USA,2019-05-22
235,hbe56_vv,hbe56,hbe,vv,USA,2019-05-22
236,hbe57_vh,hbe57,hbe,vh,USA,2019-05-22
237,hbe57_vv,hbe57,hbe,vv,USA,2019-05-22
238,hbe58_vh,hbe58,hbe,vh,USA,2019-05-22
239,hbe58_vv,hbe58,hbe,vv,USA,2019-05-22
240,hbe59_vh,hbe59,hbe,vh,USA,2019-05-22
241,hbe59_vv,hbe59,hbe,vv,USA,2019-05-22
242,hbe60_vh,hbe60,hbe,vh,USA,2019-05-22
243,hbe60_vv,hbe60,hbe,vv,USA,2019-05-22
244,hbe61_vh,hbe61,hbe,vh,USA,2019-05-22
245,hbe61_vv,hbe61,hbe,vv,USA,2019-05-22
246,hbe62_vh,hbe62,hbe,vh,USA,2019-05-22
247,hbe62_vv,hbe62,hbe,vv,USA,2019-05-22
248,hbe63_vh,hbe63,hbe,vh,USA,2019-05-22
249,hbe63_vv,hbe63,hbe,vv,USA,2019-05-22
250,hbe64_vh,hbe64,hbe,vh,USA,2019-05-22
251,hbe64_vv,hbe64,hbe,vv,USA,2019-05-22
252,hbe65_vh,hbe65,hbe,vh,USA,2019-05-22
253,hbe65_vv,hbe65,hbe,vv,USA,2019-05-22
254,hbe66_vh,hbe66,hbe,vh,USA,2019-05-22
255,hbe66_vv,hbe66,hbe,vv,USA,2019-05-22
256,hbe67_vh,hbe67,hbe,vh,USA,2019-05-22
257,hbe67_vv,hbe67,hbe,vv,USA,2019-05-22
258,hbe68_vh,hbe68,hbe,vh,USA,2019-05-22
259,hbe68_vv,hbe68,hbe,vv,USA,2019-05-22
260,hxu00_vh,hxu00,hxu,vh,Somalia,2018-05-07
261,hxu00_vv,hxu00,hxu,vv,Somalia,2018-05-07
262,hxu01_vh,hxu01,hxu,vh,Somalia,2018-05-07
263,hxu01_vv,hxu01,hxu,vv,Somalia,2018-05-07
264,hxu02_vh,hxu02,hxu,vh,Somalia,2018-05-07
265,hxu02_vv,hxu02,hxu,vv,Somalia,2018-05-07
266,hxu03_vh,hxu03,hxu,vh,Somalia,2018-05-07
267,hxu03_vv,hxu03,hxu,vv,Somalia,2018-05-07
268,hxu04_vh,hxu04,hxu,vh,Somalia,2018-05-07
269,hxu04_vv,hxu04,hxu,vv,Somalia,2018-05-07
270,hxu05_vh,hxu05,hxu,vh,Somalia,2018-05-07
271,hxu05_vv,hxu05,hxu,vv,Somalia,2018-05-07
272,hxu06_vh,hxu06,hxu,vh,Somalia,2018-05-07
273,hxu06_vv,hxu06,hxu,vv,Somalia,2018-05-07
274,hxu07_vh,hxu07,hxu,vh,Somalia,2018-05-07
275,hxu07_vv,hxu07,hxu,vv,Somalia,2018-05-07
276,hxu08_vh,hxu08,hxu,vh,Somalia,2018-05-07
277,hxu08_vv,hxu08,hxu,vv,Somalia,2018-05-07
278,hxu09_vh,hxu09,hxu,vh,Somalia,2018-05-07
279,hxu09_vv,hxu09,hxu,vv,Somalia,2018-05-07
280,hxu10_vh,hxu10,hxu,vh,Somalia,2018-05-07
281,hxu10_vv,hxu10,hxu,vv,Somalia,2018-05-07
282,hxu11_vh,hxu11,hxu,vh,Somalia,2018-05-07
283,hxu11_vv,hxu11,hxu,vv,Somalia,2018-05-07
284,hxu12_vh,hxu12,hxu,vh,Somalia,2018-05-07
285,hxu12_vv,hxu12,hxu,vv,Somalia,2018-05-07
286,hxu13_vh,hxu13,hxu,vh,Somalia,2018-05-07
287,hxu13_vv,hxu13,hxu,vv,Somalia,2018-05-07
288,hxu14_vh,hxu14,hxu,vh,Somalia,2018-05-07
289,hxu14_vv,hxu14,hxu,vv,Somalia,2018-05-07
290,hxu15_vh,hxu15,hxu,vh,Somalia,2018-05-07
291,hxu15_vv,hxu15,hxu,vv,Somalia,2018-05-07
292,hxu16_vh,hxu16,hxu,vh,Somalia,2018-05-07
293,hxu16_vv,hxu16,hxu,vv,Somalia,2018-05-07
294,hxu17_vh,hxu17,hxu,vh,Somalia,2018-05-07
295,hxu17_vv,hxu17,hxu,vv,Somalia,2018-05-07
296,hxu18_vh,hxu18,hxu,vh,Somalia,2018-05-07
297,hxu18_vv,hxu18,hxu,vv,Somalia,2018-05-07
298,hxu19_vh,hxu19,hxu,vh,Somalia,2018-05-07
299,hxu19_vv,hxu19,hxu,vv,Somalia,2018-05-07
300,hxu20_vh,hxu20,hxu,vh,Somalia,2018-05-07
301,hxu20_vv,hxu20,hxu,vv,Somalia,2018-05-07
302,hxu21_vh,hxu21,hxu,vh,Somalia,2018-05-07
303,hxu21_vv,hxu21,hxu,vv,Somalia,2018-05-07
304,hxu22_vh,hxu22,hxu,vh,Somalia,2018-05-07
305,hxu22_vv,hxu22,hxu,vv,Somalia,2018-05-07
306,hxu23_vh,hxu23,hxu,vh,Somalia,2018-05-07
307,hxu23_vv,hxu23,hxu,vv,Somalia,2018-05-07
308,hxu24_vh,hxu24,hxu,vh,Somalia,2018-05-07
309,hxu24_vv,hxu24,hxu,vv,Somalia,2018-05-07
310,hxu25_vh,hxu25,hxu,vh,Somalia,2018-05-07
311,hxu25_vv,hxu25,hxu,vv,Somalia,2018-05-07
312,jja00_vh,jja00,jja,vh,Paraguay,2018-10-31
313,jja00_vv,jja00,jja,vv,Paraguay,2018-10-31
314,jja01_vh,jja01,jja,vh,Paraguay,2018-10-31
315,jja01_vv,jja01,jja,vv,Paraguay,2018-10-31
316,jja02_vh,jja02,jja,vh,Paraguay,2018-10-31
317,jja02_vv,jja02,jja,vv,Paraguay,2018-10-31
318,jja03_vh,jja03,jja,vh,Paraguay,2018-10-31
319,jja03_vv,jja03,jja,vv,Paraguay,2018-10-31
320,jja04_vh,jja04,jja,vh,Paraguay,2018-10-31
321,jja04_vv,jja04,jja,vv,Paraguay,2018-10-31
322,jja05_vh,jja05,jja,vh,Paraguay,2018-10-31
323,jja05_vv,jja05,jja,vv,Paraguay,2018-10-31
324,jja06_vh,jja06,jja,vh,Paraguay,2018-10-31
325,jja06_vv,jja06,jja,vv,Paraguay,2018-10-31
326,jja07_vh,jja07,jja,vh,Paraguay,2018-10-31
327,jja07_vv,jja07,jja,vv,Paraguay,2018-10-31
328,jja08_vh,jja08,jja,vh,Paraguay,2018-10-31
329,jja08_vv,jja08,jja,vv,Paraguay,2018-10-31
330,jja09_vh,jja09,jja,vh,Paraguay,2018-10-31
331,jja09_vv,jja09,jja,vv,Paraguay,2018-10-31
332,jja10_vh,jja10,jja,vh,Paraguay,2018-10-31
333,jja10_vv,jja10,jja,vv,Paraguay,2018-10-31
334,jja11_vh,jja11,jja,vh,Paraguay,2018-10-31
335,jja11_vv,jja11,jja,vv,Paraguay,2018-10-31
336,jja12_vh,jja12,jja,vh,Paraguay,2018-10-31
337,jja12_vv,jja12,jja,vv,Paraguay,2018-10-31
338,jja13_vh,jja13,jja,vh,Paraguay,2018-10-31
339,jja13_vv,jja13,jja,vv,Paraguay,2018-10-31
340,jja14_vh,jja14,jja,vh,Paraguay,2018-10-31
341,jja14_vv,jja14,jja,vv,Paraguay,2018-10-31
342,jja15_vh,jja15,jja,vh,Paraguay,2018-10-31
343,jja15_vv,jja15,jja,vv,Paraguay,2018-10-31
344,jja16_vh,jja16,jja,vh,Paraguay,2018-10-31
345,jja16_vv,jja16,jja,vv,Paraguay,2018-10-31
346,jja17_vh,jja17,jja,vh,Paraguay,2018-10-31
347,jja17_vv,jja17,jja,vv,Paraguay,2018-10-31
348,jja18_vh,jja18,jja,vh,Paraguay,2018-10-31
349,jja18_vv,jja18,jja,vv,Paraguay,2018-10-31
350,jja19_vh,jja19,jja,vh,Paraguay,2018-10-31
351,jja19_vv,jja19,jja,vv,Paraguay,2018-10-31
352,jja20_vh,jja20,jja,vh,Paraguay,2018-10-31
353,jja20_vv,jja20,jja,vv,Paraguay,2018-10-31
354,jja21_vh,jja21,jja,vh,Paraguay,2018-10-31
355,jja21_vv,jja21,jja,vv,Paraguay,2018-10-31
356,jja22_vh,jja22,jja,vh,Paraguay,2018-10-31
357,jja22_vv,jja22,jja,vv,Paraguay,2018-10-31
358,jja23_vh,jja23,jja,vh,Paraguay,2018-10-31
359,jja23_vv,jja23,jja,vv,Paraguay,2018-10-31
360,jja24_vh,jja24,jja,vh,Paraguay,2018-10-31
361,jja24_vv,jja24,jja,vv,Paraguay,2018-10-31
362,jja25_vh,jja25,jja,vh,Paraguay,2018-10-31
363,jja25_vv,jja25,jja,vv,Paraguay,2018-10-31
364,jja26_vh,jja26,jja,vh,Paraguay,2018-10-31
365,jja26_vv,jja26,jja,vv,Paraguay,2018-10-31
366,jja27_vh,jja27,jja,vh,Paraguay,2018-10-31
367,jja27_vv,jja27,jja,vv,Paraguay,2018-10-31
368,jja28_vh,jja28,jja,vh,Paraguay,2018-10-31
369,jja28_vv,jja28,jja,vv,Paraguay,2018-10-31
370,jja29_vh,jja29,jja,vh,Paraguay,2018-10-31
371,jja29_vv,jja29,jja,vv,Paraguay,2018-10-31
372,jja30_vh,jja30,jja,vh,Paraguay,2018-10-31
373,jja30_vv,jja30,jja,vv,Paraguay,2018-10-31
374,jja31_vh,jja31,jja,vh,Paraguay,2018-10-31
375,jja31_vv,jja31,jja,vv,Paraguay,2018-10-31
376,jja32_vh,jja32,jja,vh,Paraguay,2018-10-31
377,jja32_vv,jja32,jja,vv,Paraguay,2018-10-31
378,jja33_vh,jja33,jja,vh,Paraguay,2018-10-31
379,jja33_vv,jja33,jja,vv,Paraguay,2018-10-31
380,jja34_vh,jja34,jja,vh,Paraguay,2018-10-31
381,jja34_vv,jja34,jja,vv,Paraguay,2018-10-31
382,jja35_vh,jja35,jja,vh,Paraguay,2018-10-31
383,jja35_vv,jja35,jja,vv,Paraguay,2018-10-31
384,jja36_vh,jja36,jja,vh,Paraguay,2018-10-31
385,jja36_vv,jja36,jja,vv,Paraguay,2018-10-31
386,jja37_vh,jja37,jja,vh,Paraguay,2018-10-31
387,jja37_vv,jja37,jja,vv,Paraguay,2018-10-31
388,jja38_vh,jja38,jja,vh,Paraguay,2018-10-31
389,jja38_vv,jja38,jja,vv,Paraguay,2018-10-31
390,jja39_vh,jja39,jja,vh,Paraguay,2018-10-31
391,jja39_vv,jja39,jja,vv,Paraguay,2018-10-31
392,jja40_vh,jja40,jja,vh,Paraguay,2018-10-31
393,jja40_vv,jja40,jja,vv,Paraguay,2018-10-31
394,jja41_vh,jja41,jja,vh,Paraguay,2018-10-31
395,jja41_vv,jja41,jja,vv,Paraguay,2018-10-31
396,jja42_vh,jja42,jja,vh,Paraguay,2018-10-31
397,jja42_vv,jja42,jja,vv,Paraguay,2018-10-31
398,jja43_vh,jja43,jja,vh,Paraguay,2018-10-31
399,jja43_vv,jja43,jja,vv,Paraguay,2018-10-31
400,jja44_vh,jja44,jja,vh,Paraguay,2018-10-31
401,jja44_vv,jja44,jja,vv,Paraguay,2018-10-31
402,jja45_vh,jja45,jja,vh,Paraguay,2018-10-31
403,jja45_vv,jja45,jja,vv,Paraguay,2018-10-31
404,jja46_vh,jja46,jja,vh,Paraguay,2018-10-31
405,jja46_vv,jja46,jja,vv,Paraguay,2018-10-31
406,jja47_vh,jja47,jja,vh,Paraguay,2018-10-31
407,jja47_vv,jja47,jja,vv,Paraguay,2018-10-31
408,jja48_vh,jja48,jja,vh,Paraguay,2018-10-31
409,jja48_vv,jja48,jja,vv,Paraguay,2018-10-31
410,jja49_vh,jja49,jja,vh,Paraguay,2018-10-31
411,jja49_vv,jja49,jja,vv,Paraguay,2018-10-31
412,jja50_vh,jja50,jja,vh,Paraguay,2018-10-31
413,jja50_vv,jja50,jja,vv,Paraguay,2018-10-31
414,jja51_vh,jja51,jja,vh,Paraguay,2018-10-31
415,jja51_vv,jja51,jja,vv,Paraguay,2018-10-31
416,jja52_vh,jja52,jja,vh,Paraguay,2018-10-31
417,jja52_vv,jja52,jja,vv,Paraguay,2018-10-31
418,jja53_vh,jja53,jja,vh,Paraguay,2018-10-31
419,jja53_vv,jja53,jja,vv,Paraguay,2018-10-31
420,jja54_vh,jja54,jja,vh,Paraguay,2018-10-31
421,jja54_vv,jja54,jja,vv,Paraguay,2018-10-31
422,jja55_vh,jja55,jja,vh,Paraguay,2018-10-31
423,jja55_vv,jja55,jja,vv,Paraguay,2018-10-31
424,jja56_vh,jja56,jja,vh,Paraguay,2018-10-31
425,jja56_vv,jja56,jja,vv,Paraguay,2018-10-31
426,jja57_vh,jja57,jja,vh,Paraguay,2018-10-31
427,jja57_vv,jja57,jja,vv,Paraguay,2018-10-31
428,jja58_vh,jja58,jja,vh,Paraguay,2018-10-31
